,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,Aijing,None,47.93567344642118,6,8,5,2,12,3,"[2862, 73951, 3993, 74143, 4161, 74321, 4346, 74665]","[(12, 3), [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[2, 0, 0, 0, 0, 0, 0, 2]",2
1,Aijing,-5,125.53767779197437,6,8,6,1,5,2,"[1113, 79401]","[(5, 2), [5, 1], [6, 1]]","[(0, -1), (1, 0)]","[2, 0]",2
2,Aijing,0,53.13010235415599,6,8,2,4,6,1,"[968, 81383, 1129, 81544, 1279, 81705, 1445]","[(6, 1), [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 1, 1, 1, 1]",1
3,Aijing,-3,78.69006752597979,2,4,3,10,6,8,"[1246, 83351, 1458, 83693, 1657]","[(6, 8), [5, 8], [4, 8], [3, 8], [3, 9], [3, 10]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[0, 0, 0, 2, 2]",2
4,Aijing,1,54.46232220802562,2,4,7,6,3,10,"[827, 85590, 1035, 85840, 1419, 86081, 1599, 86257]","[(3, 10), [3, 9], [3, 8], [3, 7], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 2, 2, 2, 2]",2
5,Aijing,-1,66.80140948635182,2,4,4,9,7,6,"[1561, 88065, 2177, 88357, 2364, 88522]","[(7, 6), [6, 6], [5, 6], [4, 6], [4, 7], [4, 8], [4, 9]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 2, 2, 2]",2
6,Aijing,3,66.80140948635182,2,4,9,4,4,9,"[725, 91187, 923, 91379, 1131, 92250, 1345]","[(4, 9), [4, 8], [4, 7], [4, 6], [4, 5], [4, 4], [3, 4], [2, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
7,Aijing,3,45.00000000000001,9,4,7,9,2,4,"[702, 93902, 1362, 94066, 1528, 94245, 1743]","[(2, 4), [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
8,Aijing,0,74.9315118405078,7,9,13,7,9,4,"[749, 96309, 953, 96518, 1149, 96692, 1933, 96925, 2281]","[(9, 4), [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [8, 10], [7, 10], [7, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, -1)]","[0, 0, 0, 1, 1, 0, 1, 1, 0]",1
9,Aijing,-3,57.52880770915152,13,7,8,5,7,9,"[795, 99438, 1000, 99690, 1362]","[(7, 9), [7, 8], [7, 7], [7, 6], [7, 5], [8, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[0, 0, 2, 2, 0]",2
10,Aijing,-1,66.80140948635182,13,7,11,2,8,5,"[631, 101469, 842, 102007, 1086, 102217]","[(8, 5), [9, 5], [10, 5], [11, 5], [11, 4], [11, 3], [11, 2]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 2, 2, 2]",2
11,Aijing,5,16.606980578617005,13,7,12,13,11,2,"[427, 103603, 638, 103786, 819, 104084, 1043]","[(11, 2), [11, 3], [11, 4], [11, 5], [11, 6], [11, 7], [12, 7], [13, 7]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
12,Aijing,1,49.573921259900864,12,13,8,10,13,7,"[537, 105325, 737, 105503, 944, 105681, 1159, 106743, 1596]","[(13, 7), [13, 8], [13, 9], [13, 10], [13, 11], [13, 12], [13, 13], [13, 14], [13, 13], [12, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (-1, 0)]","[0, 0, 0, 1, 1, 1, 0, 0, 0]",1
13,Aijing,5,34.69515353123398,8,10,9,4,12,13,"[730, 108692, 950, 108921, 1276, 109145, 1452]","[(12, 13), [11, 13], [10, 13], [9, 13], [8, 13], [8, 12], [8, 11], [8, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 1, 0, 0, 0]",1
14,Aijing,0,62.59242456218159,9,4,4,7,8,10,"[399, 110828, 781, 111152, 1280, 111359, 1555]","[(8, 10), [7, 10], [6, 10], [5, 10], [4, 10], [4, 9], [4, 8], [4, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[2, 2, 2, 2, 0, 0, 0]",2
15,Aijing,-5,85.60129464500447,9,4,3,5,4,7,"[652, 113575, 898]","[(4, 7), [3, 7], [3, 6], [3, 5]]","[(-1, 0), (0, -1), (0, -1)]","[2, 0, 0]",2
