,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,Guoyang,None,37.0565281894096,7,5,3,8,0,1,"[1171, 559051, 1376, 559293, 1807, 560077, 2047, 560398, 2281, 560608]","[(0, 1), [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [1, 8], [2, 8], [3, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0]",2
1,Guoyang,-5,98.13010235415598,7,5,2,7,3,8,"[650, 564653, 1278, 565269]","[(3, 8), [3, 7], [3, 8], [3, 7], [2, 7]]","[(0, -1), (0, 1), (0, -1), (-1, 0)]","[0, 0, 0, 2]",2
2,Guoyang,5,16.606980578617005,7,5,13,6,2,7,"[447, 566907, 791, 567148, 1014, 567339, 1433]","[(2, 7), [2, 6], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 1, 0, 0, 0, 0, 0]",1
3,Guoyang,-3,62.10272896905237,13,6,8,8,7,5,"[41, 569500, 255, 569648]","[(7, 5), [8, 5], [8, 6], [8, 7], [8, 8]]","[(1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 2, 2]",2
4,Guoyang,1,66.80140948635182,13,6,12,12,8,8,"[360, 570139, 519, 570399, 764, 570925, 933]","[(8, 8), [9, 8], [10, 8], [11, 8], [12, 8], [13, 8], [13, 7], [13, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[0, 0, 0, 0, 1, 1, 1]",1
5,Guoyang,-1,53.9726266148964,12,12,9,8,13,6,"[915, 572940, 1098, 573145, 1461, 573429]","[(13, 6), [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [9, 8]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[0, 0, 2, 2, 2, 0]",2
6,Guoyang,0,106.26020470831197,12,12,12,4,9,8,"[402, 575244, 728, 575553, 924, 575743, 1111]","[(9, 8), [10, 8], [11, 8], [12, 8], [12, 9], [12, 10], [12, 11], [12, 12]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 1, 1, 1, 1]",1
7,Guoyang,-3,33.690067525979785,12,4,14,9,12,12,"[483, 577102, 854, 577318, 1183]","[(12, 12), [12, 11], [12, 10], [13, 10], [14, 10], [14, 9]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1)]","[0, 0, 2, 2, 0]",2
8,Guoyang,1,49.76364169072618,12,4,8,7,14,9,"[1421, 578780, 1658, 579087, 1887, 579333, 2301]","[(14, 9), [13, 9], [12, 9], [12, 8], [12, 7], [12, 6], [12, 5], [12, 4]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 1, 1, 1]",1
9,Guoyang,0,90.0,8,7,9,0,12,4,"[253, 581942, 506, 582382, 1096, 582583, 1360]","[(12, 4), [11, 4], [10, 4], [9, 4], [8, 4], [8, 5], [8, 6], [8, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 1, 1, 1, 1]",1
10,Guoyang,3,47.93567344642118,9,0,3,1,8,7,"[519, 584281, 749, 584523, 1010, 584738, 1243, 585209]","[(8, 7), [8, 6], [8, 5], [8, 4], [8, 3], [8, 2], [8, 1], [8, 0], [9, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[0, 0, 0, 0, 0, 0, 1, 1]",1
11,Guoyang,-3,62.10272896905237,3,1,8,3,9,0,"[644, 587012, 978, 587361]","[(9, 0), [9, 1], [8, 1], [8, 2], [8, 3]]","[(0, 1), (-1, 0), (0, 1), (0, 1)]","[0, 0, 2, 2]",2
12,Guoyang,-1,66.80140948635182,3,1,5,6,8,3,"[370, 588705, 712, 589057, 949, 589361, 1392]","[(8, 3), [7, 3], [6, 3], [6, 2], [6, 1], [5, 1], [4, 1], [3, 1]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 1, 1, 0, 1, 1]",1
13,Guoyang,1,49.76364169072618,5,6,9,3,3,1,"[316, 591187, 657, 591590, 833, 591980, 1069]","[(3, 1), [3, 2], [3, 3], [4, 3], [5, 3], [5, 4], [5, 5], [5, 6]]","[(0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 0, 1, 1, 1]",1
14,Guoyang,3,30.52970589993411,9,3,14,5,5,6,"[230, 593572, 842, 593952, 1019, 594430, 1410, 595014, 2025]","[(5, 6), [6, 6], [6, 5], [7, 5], [7, 4], [8, 4], [8, 3], [8, 4], [8, 3], [9, 3]]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (0, -1), (1, 0)]","[0, 0, 0, 1, 0, 1, 2, 1, 0]",1
15,Guoyang,-1,66.80140948635182,14,5,12,0,9,3,"[632, 597362, 875, 597539, 1208, 598398]","[(9, 3), [10, 3], [11, 3], [12, 3], [12, 2], [12, 1], [12, 0]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 2, 2, 2]",2
16,Guoyang,3,66.80140948635182,14,5,7,5,12,0,"[645, 599930, 906, 600253, 1263, 600473, 1998]","[(12, 0), [12, 1], [12, 2], [13, 2], [13, 3], [14, 3], [14, 4], [14, 5]]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1)]","[0, 0, 1, 0, 1, 0, 0]",1
17,Guoyang,5,45.0,7,5,8,11,14,5,"[599, 602893, 1379, 603432, 1641, 603694, 2028]","[(14, 5), [13, 5], [12, 5], [11, 5], [10, 5], [9, 5], [8, 5], [7, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
18,Guoyang,-5,125.53767779197437,8,11,8,4,7,5,"[1010, 606511]","[(7, 5), [7, 4], [8, 4]]","[(0, -1), (1, 0)]","[2, 0]",2
19,Guoyang,-5,45.0,8,11,9,5,8,4,"[582, 607915]","[(8, 4), [8, 5], [9, 5]]","[(0, 1), (1, 0)]","[0, 2]",2
20,Guoyang,0,62.59242456218159,8,11,13,8,9,5,"[399, 609211, 652, 609802, 992, 610147, 1316]","[(9, 5), [9, 6], [9, 7], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 2, 2, 2, 2]",2
21,Guoyang,5,20.658910063307513,8,11,2,10,13,8,"[399, 611993, 861, 613649, 1099, 613908, 1432, 614230]","[(13, 8), [13, 9], [13, 10], [13, 11], [12, 11], [11, 11], [10, 11], [9, 11], [8, 11]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 1, 0, 0, 0, 0, 0]",1
22,Guoyang,-5,125.53767779197437,2,10,9,10,8,11,"[2118, 616028]","[(8, 11), [8, 10], [9, 10]]","[(0, -1), (1, 0)]","[0, 2]",2
23,Guoyang,5,45.0,2,10,3,4,9,10,"[853, 619329, 1147, 619790, 1582, 620128, 1913, 620457, 2207, 621188, 2508]","[(9, 10), [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [2, 9], [2, 10]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (0, 1)]","[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1
24,Guoyang,-3,62.10272896905237,3,4,5,9,2,10,"[550, 624132, 819, 624634]","[(2, 10), [2, 9], [3, 9], [4, 9], [5, 9]]","[(0, -1), (1, 0), (1, 0), (1, 0)]","[0, 0, 2, 2]",2
25,Guoyang,1,66.80140948635182,3,4,9,5,5,9,"[319, 626033, 602, 626307, 954, 627053, 1247]","[(5, 9), [5, 8], [5, 7], [5, 6], [5, 5], [5, 4], [4, 4], [3, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 1, 1, 1]",1
26,Guoyang,-1,54.46232220802562,9,5,6,1,3,4,"[632, 628598, 920, 628892, 1231, 629263]","[(3, 4), [3, 3], [3, 2], [3, 1], [4, 1], [5, 1], [6, 1]]","[(0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[2, 2, 2, 0, 0, 0]",2
27,Guoyang,0,90.0,9,5,2,4,6,1,"[860, 630838, 1529, 631208, 1799, 631813, 2149]","[(6, 1), [6, 2], [6, 3], [5, 3], [4, 3], [3, 3], [2, 3], [2, 4]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[0, 0, 2, 2, 2, 2, 0]",2
28,Guoyang,-3,48.179830119864235,9,5,4,7,2,4,"[543, 634279, 880, 634594, 1179]","[(2, 4), [3, 4], [4, 4], [4, 5], [4, 6], [4, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 2, 2]",2
29,Guoyang,1,66.80140948635182,9,5,8,11,4,7,"[407, 636113, 719, 636485, 1195, 636782, 1533]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [8, 6], [8, 5], [9, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0)]","[0, 0, 0, 0, 1, 1, 1]",1
30,Guoyang,0,62.59242456218159,8,11,13,8,9,5,"[660, 638672, 952, 639080, 1255, 639417, 1524]","[(9, 5), [10, 5], [11, 5], [12, 5], [13, 5], [13, 6], [13, 7], [13, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[2, 2, 2, 2, 0, 0, 0]",2
31,Guoyang,3,25.253163394573882,8,11,3,9,13,8,"[1054, 641270, 1296, 641681, 1639, 642244, 1922, 642773]","[(13, 8), [12, 8], [11, 8], [10, 8], [10, 9], [10, 10], [9, 10], [8, 10], [8, 11]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1)]","[0, 0, 0, 0, 1, 0, 0, 1]",1
32,Guoyang,-3,113.19859051364818,3,9,10,9,8,11,"[364, 645099, 685, 645375]","[(8, 11), [8, 10], [8, 9], [9, 9], [10, 9]]","[(0, -1), (0, -1), (1, 0), (1, 0)]","[0, 0, 2, 2]",2
33,Guoyang,-1,45.0,3,9,7,12,10,9,"[812, 646388, 1136, 647058, 1722, 647389]","[(10, 9), [9, 9], [8, 9], [7, 9], [7, 10], [7, 11], [7, 12]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 2, 2, 2]",2
34,Guoyang,1,55.30484646876604,3,9,1,14,7,12,"[618, 649946, 1629, 650171, 2162, 651497, 2499]","[(7, 12), [6, 12], [6, 11], [5, 11], [4, 11], [4, 10], [3, 10], [3, 9]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[0, 1, 0, 0, 1, 0, 1]",1
35,Guoyang,3,66.80140948635182,1,14,8,14,3,9,"[468, 654271, 739, 654540, 1169, 654937, 1440]","[(3, 9), [3, 10], [3, 11], [3, 12], [3, 13], [3, 14], [2, 14], [1, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
36,Guoyang,-1,45.0,8,14,4,11,1,14,"[571, 656757, 826, 657111, 1125, 657271]","[(1, 14), [2, 14], [3, 14], [3, 13], [3, 12], [3, 11], [4, 11]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]","[0, 0, 2, 2, 2, 0]",2
37,Guoyang,3,30.52970589993411,8,14,13,12,4,11,"[490, 659197, 1085, 659477, 1379, 659818, 1666]","[(4, 11), [5, 11], [5, 12], [5, 13], [5, 14], [6, 14], [7, 14], [8, 14]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[0, 0, 1, 1, 0, 0, 0]",1
38,Guoyang,5,41.63353933657021,13,12,12,6,8,14,"[683, 661612, 1542, 662313, 2117, 662745, 2542]","[(8, 14), [8, 13], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13], [13, 12]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[0, 0, 0, 0, 0, 1, 0]",1
39,Guoyang,-5,125.53767779197437,12,6,12,13,13,12,"[538, 665798]","[(13, 12), [12, 12], [12, 13]]","[(-1, 0), (0, 1)]","[0, 2]",2
40,Guoyang,-5,45.0,12,6,11,12,12,13,"[1099, 666700]","[(12, 13), [12, 12], [11, 12]]","[(0, -1), (-1, 0)]","[0, 2]",2
41,Guoyang,0,62.59242456218159,12,6,7,9,11,12,"[939, 668479, 1317, 668876, 1653, 669138, 1998]","[(11, 12), [11, 11], [10, 11], [9, 11], [8, 11], [7, 11], [7, 10], [7, 9]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[0, 2, 2, 2, 2, 0, 0]",2
42,Guoyang,5,35.0737544933483,12,6,11,0,7,9,"[713, 671441, 1350, 671482, 1775, 671934, 2100, 672269]","[(7, 9), [8, 9], [9, 9], [10, 9], [11, 9], [12, 9], [12, 8], [12, 7], [12, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 1, 0, 0, 0]",1
43,Guoyang,-5,125.53767779197437,11,0,11,7,12,6,"[633, 674704]","[(12, 6), [11, 6], [11, 7]]","[(-1, 0), (0, 1)]","[0, 2]",2
44,Guoyang,5,45.0,11,0,5,1,11,7,"[583, 675980, 1217, 676256, 1533, 676590, 1878]","[(11, 7), [11, 6], [11, 5], [11, 4], [11, 3], [11, 2], [11, 1], [11, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 1]",1
45,Guoyang,-3,62.10272896905237,5,1,10,3,11,0,"[472, 679057, 1301, 679424]","[(11, 0), [10, 0], [10, 1], [10, 2], [10, 3]]","[(-1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 2, 2]",2
46,Guoyang,1,66.80140948635182,5,1,6,7,10,3,"[448, 681138, 937, 681540, 1333, 681907, 1899, 682112]","[(10, 3), [9, 3], [8, 3], [7, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 0, 2, 2, 2, 2]",2
47,Guoyang,-1,54.46232220802562,5,1,9,4,6,7,"[648, 684410, 1257, 685161, 1539, 685969]","[(6, 7), [6, 6], [6, 5], [6, 4], [7, 4], [8, 4], [9, 4]]","[(0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 2, 2, 2]",2
48,Guoyang,0,106.26020470831197,5,1,13,1,9,4,"[1321, 687963, 1369, 688629, 1640, 688983, 1969]","[(9, 4), [10, 4], [11, 4], [11, 3], [11, 2], [11, 1], [12, 1], [13, 1]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[2, 2, 0, 0, 0, 2, 2]",2
49,Guoyang,-3,33.690067525979785,5,1,10,3,13,1,"[477, 691495, 831, 691883, 1186]","[(13, 1), [12, 1], [11, 1], [10, 1], [10, 2], [10, 3]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[0, 0, 0, 2, 2]",2
50,Guoyang,1,66.80140948635182,5,1,6,7,10,3,"[1351, 693433, 1652, 694470, 1985, 694765, 2294]","[(10, 3), [9, 3], [8, 3], [7, 3], [6, 3], [5, 3], [5, 2], [5, 1]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[0, 0, 0, 0, 1, 1, 1]",1
51,Guoyang,0,62.59242456218159,6,7,1,4,5,1,"[494, 697407, 713, 697718, 1171, 698007, 2195]","[(5, 1), [5, 2], [5, 3], [4, 3], [3, 3], [2, 3], [1, 3], [1, 4]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[0, 0, 2, 2, 2, 2, 0]",2
52,Guoyang,3,38.480198248343015,6,7,4,12,1,4,"[782, 700538, 1055, 700791, 1351, 701170, 1665, 701454]","[(1, 4), [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [6, 5], [6, 6], [6, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 1, 1, 0, 0, 0]",1
53,Guoyang,-3,113.19859051364818,4,12,4,5,6,7,"[374, 703487, 638, 703769]","[(6, 7), [5, 7], [4, 7], [4, 6], [4, 5]]","[(-1, 0), (-1, 0), (0, -1), (0, -1)]","[0, 0, 2, 2]",2
54,Guoyang,-1,45.0,4,12,1,8,4,5,"[423, 704747, 775, 705073, 1089, 705400]","[(4, 5), [4, 6], [4, 7], [4, 8], [3, 8], [2, 8], [1, 8]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 2, 2, 2]",2
55,Guoyang,1,45.00000000000001,4,12,8,9,1,8,"[551, 706815, 835, 707072, 1395, 707363, 1710, 707760]","[(1, 8), [2, 8], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [7, 9], [8, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]","[0, 0, 0, 2, 2, 2, 0, 2]",2
56,Guoyang,-3,98.13010235415598,4,12,10,11,8,9,"[740, 709769, 928, 710033]","[(8, 9), [8, 10], [8, 11], [9, 11], [10, 11]]","[(0, 1), (0, 1), (1, 0), (1, 0)]","[0, 0, 2, 2]",2
57,Guoyang,-1,54.46232220802562,4,12,7,8,10,11,"[743, 711259, 942, 711548, 1205, 711805]","[(10, 11), [10, 10], [10, 9], [9, 9], [8, 9], [8, 8], [7, 8]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[2, 2, 0, 0, 2, 0]",2
58,Guoyang,-5,98.13010235415598,4,12,6,7,7,8,"[408, 713205, 714, 713555]","[(7, 8), [7, 9], [6, 9], [6, 8], [6, 7]]","[(0, 1), (-1, 0), (0, -1), (0, -1)]","[1, 0, 2, 2]",2
59,Guoyang,0,74.9315118405078,4,12,10,10,6,7,"[609, 714681, 867, 714961, 1097, 715265, 1361]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[2, 2, 2, 2, 0, 0, 0]",2
60,Guoyang,3,58.240519915187214,4,12,4,5,10,10,"[381, 717502, 608, 717785, 982, 718030, 1316, 718308]","[(10, 10), [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [4, 11], [4, 12]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[0, 0, 0, 0, 0, 0, 1, 1]",1
61,Guoyang,-5,45.0,4,5,5,11,4,12,"[362, 720002]","[(4, 12), [4, 11], [5, 11]]","[(0, -1), (1, 0)]","[0, 2]",2
62,Guoyang,5,54.46232220802562,4,5,11,5,5,11,"[318, 721119, 571, 721381, 863, 721696, 1136]","[(5, 11), [5, 10], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [4, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
63,Guoyang,5,45.0,11,5,10,11,4,5,"[441, 723142, 794, 723415, 1076, 723667, 1320]","[(4, 5), [5, 5], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
64,Guoyang,-5,125.53767779197437,10,11,10,4,11,5,"[213, 725369, 520, 725710, 918, 725972]","[(11, 5), [12, 5], [12, 6], [11, 6], [11, 5], [10, 5], [10, 4]]","[(1, 0), (0, 1), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[0, 1, 0, 2, 0, 2]",2
