,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,JXY,None,24.77514056883192,2,0,0,5,10,10,"[5265, 11233, 11474, 11692, 12265, 12529, 12675, 12850, 13041, 13266, 13402, 13977, 14306, 14490, 14713, 14946]","[(10, 10), [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [0, 10], [0, 10], [0, 9], [0, 8], [0, 7], [0, 6], [0, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",2
1,JXY,1,49.76364169072618,2,0,6,3,0,5,"[1034, 1244, 2234, 2571, 2947, 3218, 3411]","[(0, 5), [0, 4], [0, 3], [1, 3], [2, 3], [2, 2], [2, 1], [2, 0]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 1, 1, 1]",1
0,JXY,None,66.80140948635182,14,1,7,1,12,6,"[1053, 1301, 1677, 1892, 2068, 2269, 2597]","[(12, 6), [13, 6], [14, 6], [14, 5], [14, 4], [14, 3], [14, 2], [14, 1]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[1, 1, 0, 0, 0, 0, 0]",1
1,JXY,-5,45.0,7,1,13,2,14,1,"[1313, 1602]","[(14, 1), [14, 2], [13, 2]]","[(0, 1), (-1, 0)]","[2, 0]",2
2,JXY,-3,54.46232220802562,7,1,11,4,13,2,"[858, 1075, 1530, 1740]","[(13, 2), [12, 2], [11, 2], [11, 3], [11, 4]]","[(-1, 0), (-1, 0), (0, 1), (0, 1)]","[0, 0, 2, 2]",2
3,JXY,1,81.86989764584403,7,1,7,8,11,4,"[1129, 1313, 1498, 1753, 2106, 2362, 2626]","[(11, 4), [10, 4], [9, 4], [8, 4], [7, 4], [7, 3], [7, 2], [7, 1]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 1, 1, 1]",1
4,JXY,-5,45.0,7,8,8,2,7,1,"[962, 1266]","[(7, 1), [7, 2], [8, 2]]","[(0, 1), (1, 0)]","[0, 2]",2
5,JXY,3,54.46232220802562,7,8,13,7,8,2,"[1003, 1195, 1348, 1531, 1755, 1948, 2291]","[(8, 2), [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [7, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
6,JXY,5,54.46232220802562,13,7,13,14,7,8,"[594, 1155, 1339, 1499, 1642, 1796, 1955, 2274, 2500, 2722, 2883, 3035, 3171, 3474]","[(7, 8), [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [6, 14], [7, 14], [8, 14], [9, 14], [10, 14], [11, 14], [12, 14], [13, 14]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",2
7,JXY,5,45.0,13,7,7,8,13,14,"[467, 651, 820, 972, 1123, 1300, 1595]","[(13, 14), [13, 13], [13, 12], [13, 11], [13, 10], [13, 9], [13, 8], [13, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 1]",1
8,JXY,1,54.46232220802562,7,8,9,3,13,7,"[707, 914, 1115, 1330, 1802, 2050, 2475]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [7, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[0, 0, 0, 0, 1, 1, 1]",1
9,JXY,-3,113.19859051364818,9,3,9,10,7,8,"[635, 1108, 1299, 1564, 1932, 2307, 2531]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [8, 3], [9, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[1, 1, 1, 1, 1, 0, 0]",1
10,JXY,0,53.13010235415599,9,10,5,6,9,3,"[491, 731, 914, 1083, 1275, 1451, 1667]","[(9, 3), [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 1, 1, 1, 1]",1
