,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,SSZ,None,0.5025816667212812,1,14,4,10,12,0,"[842, 1008, 1152, 1344, 1480, 1680, 1808, 2009, 2137, 2256, 2465, 2593, 2721, 2842, 2945, 3081, 3201, 3513]","[(12, 0), [12, 1], [12, 2], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [12, 10], [11, 10], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
1,SSZ,1,81.86989764584403,1,14,8,14,4,10,"[265, 403, 554, 714, 1066, 1321, 1602]","[(4, 10), [4, 11], [4, 12], [4, 13], [3, 13], [3, 14], [2, 14], [1, 14]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0)]","[0, 0, 0, 1, 0, 1, 1]",1
2,SSZ,-5,45.0,8,14,2,13,1,14,"[586, 826]","[(1, 14), [2, 14], [2, 13]]","[(1, 0), (0, -1)]","[0, 2]",2
3,SSZ,-3,54.46232220802562,8,14,4,11,2,13,"[211, 419, 636, 818]","[(2, 13), [3, 13], [4, 13], [4, 12], [4, 11]]","[(1, 0), (1, 0), (0, -1), (0, -1)]","[0, 0, 2, 2]",2
4,SSZ,0,106.26020470831197,8,14,0,14,4,11,"[323, 499, 636, 780, 891, 1035, 1180]","[(4, 11), [5, 11], [5, 12], [5, 13], [5, 14], [6, 14], [7, 14], [8, 14]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[1, 0, 0, 0, 1, 1, 1]",1
5,SSZ,3,39.80557109226519,0,14,2,9,8,14,"[140, 269, 549, 683, 811, 932, 1155, 1284, 1540, 1677, 1868]","[(8, 14), [9, 14], [8, 14], [8, 14], [7, 14], [6, 14], [5, 14], [4, 14], [3, 14], [2, 14], [1, 14], [0, 14]]","[(1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1
6,SSZ,1,49.76364169072618,2,9,6,12,0,14,"[220, 387, 531, 661, 1155, 1340, 1483]","[(0, 14), [0, 13], [0, 12], [0, 11], [0, 10], [0, 9], [1, 9], [2, 9]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[0, 0, 1, 1, 1, 0, 0]",1
7,SSZ,5,25.559965171823816,6,12,12,11,2,9,"[276, 428, 571, 747, 876, 1012, 1139]","[(2, 9), [2, 10], [2, 11], [2, 12], [3, 12], [4, 12], [5, 12], [6, 12]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 1, 0, 0, 0, 0]",1
8,SSZ,-1,53.9726266148964,12,11,8,8,6,12,"[179, 523, 651, 803, 940, 1285]","[(6, 12), [6, 11], [6, 10], [6, 9], [6, 8], [7, 8], [8, 8]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[0, 2, 2, 2, 0, 0]",2
9,SSZ,1,81.86989764584403,12,11,12,4,8,8,"[521, 642, 786, 914, 978, 1130, 1249, 1411, 1921]","[(8, 8), [9, 8], [10, 8], [11, 8], [12, 8], [13, 8], [13, 9], [13, 10], [13, 11], [12, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1, 1, 0]",1
