,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,crl,None,31.429565614838506,6,12,2,9,10,4,"[819, 998, 1148, 1316, 1509, 1716, 1933, 2261, 2500, 2701, 2892, 3108]","[(10, 4), [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [9, 12], [8, 12], [7, 12], [6, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",1
1,crl,5,34.69515353123398,2,9,3,3,6,12,"[393, 593, 777, 1001, 1201, 1417, 1616, 1850, 2297, 2529, 2729, 2937]","[(6, 12), [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [5, 3], [4, 3], [3, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0]",2
2,crl,-3,62.10272896905237,2,9,0,4,3,3,"[378, 585, 810, 1090]","[(3, 3), [2, 3], [1, 3], [0, 3], [0, 4]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1)]","[0, 2, 2, 0]",2
3,crl,-1,56.88865803962797,2,9,5,5,0,4,"[467, 674, 1452, 1651, 1835, 2019, 2203, 2555]","[(0, 4), [0, 5], [0, 6], [1, 6], [2, 6], [3, 6], [4, 6], [5, 6], [5, 5]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[0, 1, 0, 0, 2, 2, 2, 2]",2
4,crl,1,81.86989764584403,2,9,9,9,5,5,"[458, 674, 875, 1058, 1266, 1506, 1714]","[(5, 5), [5, 6], [5, 7], [5, 8], [5, 9], [4, 9], [3, 9], [2, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 1, 1, 1]",1
5,crl,3,45.00000000000001,9,9,7,4,2,9,"[516, 707, 915, 1107, 1387, 1634, 1843, 2036, 2227, 2410]","[(2, 9), [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]",2
6,crl,0,74.9315118405078,9,9,3,7,7,4,"[397, 588, 789, 1053, 1260, 1467, 1677]","[(7, 4), [7, 5], [7, 6], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 2, 2, 2, 2]",2
7,crl,-1,55.30484646876604,9,9,7,4,3,7,"[618, 835, 1034, 1306, 1529, 1721, 1922]","[(3, 7), [3, 6], [3, 5], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4]]","[(0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[2, 2, 2, 0, 0, 0, 0]",2
8,crl,1,66.80140948635182,9,9,3,8,7,4,"[530, 755, 1027, 1227, 1419, 1603, 1804]","[(7, 4), [8, 4], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 1, 0, 0, 0, 0, 1]",1
9,crl,-1,54.46232220802562,3,8,6,12,9,9,"[354, 547, 753, 1028, 1257, 1466]","[(9, 9), [8, 9], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 2, 2, 2]",2
