,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,softmaxBeta2.5_15,None,37.8749836510982,14,3,14,10,6,2,"[0, 94187, 0, 94187, 0, 94187, 0, 94187, 0]","[(6, 2), [7, 2], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [14, 3]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,softmaxBeta2.5_15,5,45.0,14,10,8,9,14,3,"[0, 94191, 0, 94191, 0, 94192, 0]","[(14, 3), [14, 4], [14, 5], [14, 6], [14, 7], [14, 8], [14, 9], [14, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 0, 0, 0, 1]",1
2,softmaxBeta2.5_15,5,45.0,8,9,9,3,14,10,"[0, 94195, 0, 94195, 1, 94195, 1]","[(14, 10), [13, 10], [12, 10], [11, 10], [11, 9], [10, 9], [9, 9], [8, 9]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
3,softmaxBeta2.5_15,-1,54.46232220802562,9,3,5,6,8,9,"[0, 94199, 0, 94200, 0, 94200]","[(8, 9), [8, 8], [7, 8], [7, 7], [6, 7], [6, 6], [5, 6]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]","[0, 2, 0, 2, 0, 2]",2
4,softmaxBeta2.5_15,-5,98.13010235415598,9,3,4,5,5,6,"[0, 94203]","[(5, 6), [4, 6], [4, 5]]","[(-1, 0), (0, -1)]","[2, 0]",2
5,softmaxBeta2.5_15,1,66.80140948635182,9,3,8,9,4,5,"[0, 94207, 0, 94207, 0, 94207, 0]","[(4, 5), [4, 4], [5, 4], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3]]","[(0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 0, 1, 0, 0, 0, 1]",1
6,softmaxBeta2.5_15,-3,62.10272896905237,8,9,6,4,9,3,"[0, 94211, 0, 94211]","[(9, 3), [8, 3], [8, 4], [7, 4], [6, 4]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0)]","[0, 0, 2, 2]",2
7,softmaxBeta2.5_15,-5,113.19859051364818,8,9,7,3,6,4,"[0, 94214]","[(6, 4), [6, 3], [7, 3]]","[(0, -1), (1, 0)]","[2, 0]",2
8,softmaxBeta2.5_15,3,54.46232220802562,8,9,2,8,7,3,"[1, 94217, 1, 94217, 1, 94217, 1]","[(7, 3), [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 0, 0, 0, 0, 0, 1]",1
9,softmaxBeta2.5_15,5,45.0,2,8,3,2,8,9,"[0, 94222, 0, 94222, 0, 94222, 1]","[(8, 9), [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
10,softmaxBeta2.5_15,-3,62.10272896905237,3,2,5,7,2,8,"[0, 94226, 0, 94226]","[(2, 8), [3, 8], [4, 8], [5, 8], [5, 7]]","[(1, 0), (1, 0), (1, 0), (0, -1)]","[0, 2, 2, 0]",2
11,softmaxBeta2.5_15,3,66.80140948635182,3,2,10,2,5,7,"[1, 94229, 1, 94229, 1, 94229, 1]","[(5, 7), [4, 7], [3, 7], [3, 6], [3, 5], [3, 4], [3, 3], [3, 2]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[1, 1, 0, 0, 0, 0, 0]",1
12,softmaxBeta2.5_15,0,53.13010235415599,10,2,6,6,3,2,"[1, 94233, 1, 94233, 1, 94233, 1]","[(3, 2), [4, 2], [4, 3], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]","[0, 2, 0, 2, 2, 0, 2]",2
13,softmaxBeta2.5_15,-5,71.56505117707799,10,2,5,4,6,6,"[0, 94238, 0]","[(6, 6), [5, 6], [5, 5], [5, 4]]","[(-1, 0), (0, -1), (0, -1)]","[2, 0, 0]",2
14,softmaxBeta2.5_15,-3,113.19859051364818,10,2,3,2,5,4,"[0, 94242, 0, 94242]","[(5, 4), [5, 3], [4, 3], [3, 3], [3, 2]]","[(0, -1), (-1, 0), (-1, 0), (0, -1)]","[0, 2, 2, 0]",2
15,softmaxBeta2.5_15,0,53.13010235415599,10,2,6,6,3,2,"[0, 94245, 0, 94246, 0, 94246, 0]","[(3, 2), [4, 2], [5, 2], [5, 3], [6, 3], [6, 4], [6, 5], [6, 6]]","[(1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 2, 0, 2, 2, 2]",2
