,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,softmaxBeta5_13,None,8.130102354156005,6,3,0,2,12,6,"[1, 111860, 1, 111860, 1, 111860, 1, 111861, 1]","[(12, 6), [11, 6], [10, 6], [10, 5], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [6, 3]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,softmaxBeta5_13,-3,62.10272896905237,0,2,5,0,6,3,"[0, 111865, 1, 111865]","[(6, 3), [5, 3], [5, 2], [5, 1], [5, 0]]","[(-1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 2, 2]",2
2,softmaxBeta5_13,5,41.63353933657021,0,2,1,8,5,0,"[0, 111869, 0, 111869, 1, 111869, 1]","[(5, 0), [4, 0], [4, 1], [3, 1], [2, 1], [2, 2], [1, 2], [0, 2]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
3,softmaxBeta5_13,1,49.573921259900864,1,8,5,5,0,2,"[0, 111873, 0, 111874, 0, 111874, 0]","[(0, 2), [0, 3], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 0, 1, 1, 1]",1
4,softmaxBeta5_13,0,90.0,5,5,4,12,1,8,"[0, 111878, 0, 111878, 0, 111878, 0]","[(1, 8), [1, 7], [1, 6], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5]]","[(0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 1, 1, 0, 0, 0, 1]",1
5,softmaxBeta5_13,3,47.93567344642118,4,12,10,11,5,5,"[0, 111882, 0, 111882, 0, 111882, 0, 111883]","[(5, 5), [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 0, 0, 0, 0, 0, 0, 1]",1
6,softmaxBeta5_13,3,46.84761026599459,10,11,8,6,4,12,"[0, 111886, 0, 111886, 1, 111886, 1]","[(4, 12), [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
7,softmaxBeta5_13,-5,113.19859051364818,8,6,9,12,10,11,"[0, 111890]","[(10, 11), [10, 12], [9, 12]]","[(0, 1), (-1, 0)]","[2, 0]",2
8,softmaxBeta5_13,-1,54.46232220802562,8,6,12,9,9,12,"[0, 111894, 0, 111894, 0, 111895]","[(9, 12), [9, 11], [9, 10], [9, 9], [10, 9], [11, 9], [12, 9]]","[(0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 2, 2, 2]",2
9,softmaxBeta5_13,1,81.86989764584403,8,6,8,13,12,9,"[0, 111898, 0, 111898, 0, 111899, 0]","[(12, 9), [12, 8], [11, 8], [11, 7], [11, 6], [10, 6], [9, 6], [8, 6]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[1, 0, 1, 1, 0, 0, 0]",1
